ポケモン名,タイプ1,タイプ2,H,A,B,C,D,S,とくせい1,とくせい2,とくせい3,ポケ徹ID,ポケ徹リンク種別
フシギダネ,くさ,どく,45,49,49,65,65,45,しんりょく,ようりょくそ,,n1,exact
フシギソウ,くさ,どく,60,62,63,80,80,60,しんりょく,ようりょくそ,,n2,exact
フシギバナ,くさ,どく,80,82,83,100,100,80,しんりょく,ようりょくそ,,n3,exact
メガフシギバナ,くさ,どく,80,100,123,122,120,80,あついしぼう,,,n3m,exact
ヒトカゲ,ほのお,,39,52,43,60,50,65,もうか,サンパワー,,n4,exact
リザード,ほのお,,58,64,58,80,65,80,もうか,サンパワー,,n5,exact
リザードン,ほのお,ひこう,78,84,78,109,85,100,もうか,サンパワー,,n6,exact
メガリザードンX,ほのお,ドラゴン,78,130,111,130,85,100,かたいツメ,,,n6x,exact
メガリザードンY,ほのお,ひこう,78,104,78,159,115,100,ひでり,,,n6y,exact
ゼニガメ,みず,,44,48,65,50,64,43,げきりゅう,あめうけざら,,n7,exact
カメール,みず,,59,63,80,65,80,58,げきりゅう,あめうけざら,,n8,exact
カメックス,みず,,79,83,100,85,105,78,げきりゅう,あめうけざら,,n9,exact
メガカメックス,みず,,79,103,120,135,115,78,メガランチャー,,,n9m,exact
キャタピー,むし,,45,30,35,20,20,45,りんぷん,にげあし,,n10,exact
トランセル,むし,,50,20,55,25,25,30,だっぴ,,,n11,exact
バタフリー,むし,ひこう,60,45,50,90,80,70,ふくがん,いろめがね,,n12,exact
ビードル,むし,どく,40,35,30,20,20,50,りんぷん,にげあし,,n13,exact
コクーン,むし,どく,45,25,50,25,25,35,だっぴ,,,n14,exact
スピアー,むし,どく,65,90,40,45,80,75,むしのしらせ,スナイパー,,n15,exact
メガスピアー,むし,どく,65,150,40,15,80,145,てきおうりょく,,,n15m,exact
ポッポ,ノーマル,ひこう,40,45,40,35,35,56,するどいめ,ちどりあし,はとむね,n16,exact
ピジョン,ノーマル,ひこう,63,60,55,50,50,71,するどいめ,ちどりあし,はとむね,n17,exact
ピジョット,ノーマル,ひこう,83,80,75,70,70,101,するどいめ,ちどりあし,はとむね,n18,exact
メガピジョット,ノーマル,ひこう,83,80,80,135,80,121,ノーガード,,,n18m,exact
コラッタ,ノーマル,,30,56,35,25,35,72,にげあし,こんじょう,はりきり,n19,exact
コラッタ(アローラ),あく,ノーマル,30,56,35,25,35,72,くいしんぼう,はりきり,あついしぼう,n19a,exact
ラッタ,ノーマル,,55,81,60,50,70,97,にげあし,こんじょう,はりきり,n20,exact
ラッタ(アローラ),あく,ノーマル,75,71,70,40,80,77,くいしんぼう,はりきり,あついしぼう,n20a,exact
ラッタ(ぬし・アローラ),あく,ノーマル,75,71,70,40,80,77,くいしんぼう,はりきり,あついしぼう,n20,species
オニスズメ,ノーマル,ひこう,40,60,30,31,31,70,するどいめ,スナイパー,,n21,exact
オニドリル,ノーマル,ひこう,65,90,65,61,61,100,するどいめ,スナイパー,,n22,exact
アーボ,どく,,35,60,44,40,54,55,いかく,だっぴ,きんちょうかん,n23,exact
アーボック,どく,,60,95,69,65,79,80,いかく,だっぴ,きんちょうかん,n24,exact
ピチュー,でんき,,20,40,15,35,35,60,せいでんき,ひらいしん,,n172,exact
ピカチュウ,でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,exact
おきがえピカチュウ,でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
ハードロック・ピカチュウ,でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
マダム・ピカチュウ,でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
アイドル・ピカチュウ,でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
ドクター・ピカチュウ,でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
マスクド・ピカチュウ,でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
ピカチュウ(オリジナルキャップ),でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
ピカチュウ(ホウエンキャップ),でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
ピカチュウ(シンオウキャップ),でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
ピカチュウ(イッシュキャップ),でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
ピカチュウ(カロスキャップ),でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
ピカチュウ(アローラキャップ),でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
ピカチュウ(キミにきめたキャップ),でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
ピカチュウ(相棒),でんき,,45,80,50,75,60,120,せいでんき,ひらいしん,,n25,species
ピカチュウ(ワールドキャップ),でんき,,35,55,40,50,50,90,せいでんき,ひらいしん,,n25,species
ライチュウ,でんき,,60,90,55,90,80,110,せいでんき,ひらいしん,,n26,exact
ライチュウ(アローラ),でんき,エスパー,60,85,50,95,85,110,サーフテール,,,n26a,exact
サンド,じめん,,50,75,85,20,30,40,すながくれ,すなかき,,n27,exact
サンド(アローラ),こおり,はがね,50,75,90,10,35,40,ゆきがくれ,ゆきかき,,n27a,exact
サンドパン,じめん,,75,100,110,45,55,65,すながくれ,すなかき,,n28,exact
サンドパン(アローラ),こおり,はがね,75,100,120,25,65,65,ゆきがくれ,ゆきかき,,n28a,exact
ニドラン♀,どく,,55,47,52,40,40,41,どくのトゲ,とうそうしん,はりきり,n29,exact
ニドリーナ,どく,,70,62,67,55,55,56,どくのトゲ,とうそうしん,はりきり,n30,exact
ニドクイン,どく,じめん,90,92,87,75,85,76,どくのトゲ,とうそうしん,ちからずく,n31,exact
ニドラン♂,どく,,46,57,40,40,40,50,どくのトゲ,とうそうしん,はりきり,n32,exact
ニドリーノ,どく,,61,72,57,55,55,65,どくのトゲ,とうそうしん,はりきり,n33,exact
